,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
62,a466,redacted,redacted,redacted,t24085,Bücher,Rick Riordan / Percy Jackson,6.0,2020-08-12,2021-04-24,756.0,,"Schmerz/ Trost,  Liebesgeschichte",P16,6.0,4.0,,redacted
63,a8381,redacted,redacted,redacted,t11071,Bücher,Rick Riordan / Percy Jackson,4.0,2021-03-20,2021-04-27,6142.0,,"Familie,  Schmerz/ Trost",P16,3.0,8.0,,redacted
64,a3200,redacted,redacted,redacted,t7743,Bücher,Rick Riordan / Percy Jackson,5.0,2021-03-11,2021-04-28,8302.0,,"Romance,  Schmerz/ Trost",P16,2.0,4.0,,redacted
65,a1541,redacted,redacted,redacted,t36101,Bücher,Rick Riordan / Percy Jackson,5.0,2021-04-12,2021-05-11,6976.0,,Freundschaft,P12,4.0,9.0,,redacted
66,a13330,redacted,redacted,redacted,t4377,Bücher,Rick Riordan / Percy Jackson,9.0,2021-02-10,2021-05-13,6087.0,,"Mystery,  Freundschaft",P12,4.0,17.0,,redacted
67,a6892,redacted,redacted,redacted,t29968,Bücher,Rick Riordan / Percy Jackson,4.0,2020-06-02,2021-03-12,4195.0,,"Humor,  Freundschaft",P12,3.0,10.0,,redacted
68,a693,redacted,redacted,redacted,t6049,Bücher,Rick Riordan / Percy Jackson,6.0,2021-02-08,2021-03-23,9279.0,,"Abenteuer,  Freundschaft",P16,0.0,2.0,,redacted
69,a7087,redacted,redacted,redacted,t17606,Bücher,Rick Riordan / Percy Jackson,3.0,2021-02-03,2021-03-29,3453.0,,Allgemein,P12,1.0,1.0,,redacted
70,a5223,redacted,redacted,redacted,t4652,Bücher,Rick Riordan / Percy Jackson,6.0,2020-12-27,2021-02-16,8410.0,,"Fantasy,  Liebesgeschichte",P16,5.0,13.0,,redacted
71,a7638,redacted,redacted,redacted,t4033,Bücher,Rick Riordan / Percy Jackson,8.0,2020-01-08,2021-02-18,7906.0,,"Freundschaft,  Liebesgeschichte",P12,5.0,7.0,,redacted
72,a7182,redacted,redacted,redacted,t26985,Bücher,Rick Riordan / Percy Jackson,40.0,2020-05-26,2021-02-18,58088.0,,Allgemein,P12,10.0,64.0,,redacted
73,a169,redacted,redacted,redacted,t21329,Bücher,Rick Riordan / Percy Jackson,8.0,2020-10-23,2021-02-23,12804.0,,"Abenteuer,  Fantasy",P16,1.0,3.0,,redacted
74,a411,redacted,redacted,redacted,t26410,Bücher,Rick Riordan / Percy Jackson,6.0,2020-12-09,2021-01-03,26912.0,,"Fantasy,  Liebesgeschichte",P16 Slash,2.0,1.0,,redacted
75,a15130,redacted,redacted,redacted,t34511,Bücher,Rick Riordan / Percy Jackson,11.0,2020-12-03,2021-01-05,13640.0,,"Abenteuer,  Fantasy",P12,4.0,9.0,,redacted
76,a5223,redacted,redacted,redacted,t32074,Bücher,Rick Riordan / Percy Jackson,18.0,2020-05-09,2021-01-13,25820.0,,"Fantasy,  Liebesgeschichte",P16,6.0,19.0,,redacted
77,a8180,redacted,redacted,redacted,t39184,Bücher,Rick Riordan / Percy Jackson,3.0,2020-11-29,2021-01-14,1413.0,,Allgemein,P12,2.0,1.0,,redacted
78,a16118,redacted,redacted,redacted,t13930,Bücher,Rick Riordan / Percy Jackson,7.0,2020-10-25,2021-01-15,4328.0,,Humor,P12,0.0,1.0,,redacted
79,a349,redacted,redacted,redacted,t4646,Bücher,Rick Riordan / Percy Jackson,6.0,2020-07-12,2021-01-16,9947.0,,Allgemein,P12 Slash,6.0,10.0,,redacted
80,a12299,redacted,redacted,redacted,t9991,Bücher,Rick Riordan / Percy Jackson,5.0,2020-10-27,2021-01-28,3307.0,,Allgemein,P12,0.0,2.0,,redacted
81,a12094,redacted,redacted,redacted,t38878,Bücher,Rick Riordan / Percy Jackson,1.0,2021-12-16,2021-12-16,1745.0,,Liebesgeschichte,P12,2.0,1.0,,redacted
82,a5884,redacted,redacted,redacted,t34845,Bücher,Rick Riordan / Percy Jackson,14.0,2021-12-21,2021-12-23,6938.0,,"Abenteuer,  Familie",P12,0.0,1.0,,redacted
83,a11604,redacted,redacted,redacted,t22720,Bücher,Rick Riordan / Percy Jackson,1.0,2021-12-23,2021-12-23,1814.0,,"Abenteuer,  Liebesgeschichte",P16,0.0,1.0,,redacted
84,a2783,redacted,redacted,redacted,t29481,Bücher,Rick Riordan / Percy Jackson,5.0,2021-12-28,2021-12-28,3622.0,,Allgemein,P16,2.0,0.0,,redacted
85,a11300,redacted,redacted,redacted,t25098,Bücher,Rick Riordan / Percy Jackson,6.0,2021-12-15,2021-12-28,10419.0,,Allgemein,P12,0.0,2.0,,redacted
86,a5884,redacted,redacted,redacted,t30826,Bücher,Rick Riordan / Percy Jackson,7.0,2021-12-21,2021-12-30,431.0,,"Familie,  Liebesgeschichte",P12,0.0,1.0,,redacted
87,a12094,redacted,redacted,redacted,t9712,Bücher,Rick Riordan / Percy Jackson,1.0,2021-11-13,2021-11-13,592.0,,Freundschaft,P12,1.0,2.0,,redacted
88,a15832,redacted,redacted,redacted,t22041,Bücher,Rick Riordan / Percy Jackson,1.0,2021-11-16,2021-11-16,565.0,,Liebesgeschichte,P12,0.0,1.0,,redacted
89,a15735,redacted,redacted,redacted,t18953,Bücher,Rick Riordan / Percy Jackson,1.0,2021-11-28,2021-11-28,932.0,,Allgemein,P12,1.0,0.0,,redacted
90,a15002,redacted,redacted,redacted,t39393,Bücher,Rick Riordan / Percy Jackson,1.0,2021-11-30,2021-11-30,1327.0,,"Familie,  Fantasy",P6,0.0,0.0,,redacted
91,a4899,redacted,redacted,redacted,t32995,Bücher,Rick Riordan / Percy Jackson,1.0,2021-12-09,2021-12-09,250.0,,"Thriller,  Liebesgeschichte",P16,0.0,0.0,,redacted
92,a4848,redacted,redacted,redacted,t1761,Bücher,Rick Riordan / Percy Jackson,1.0,2021-12-10,2021-12-10,1252.0,,"Familie,  Freundschaft",P16,0.0,0.0,,redacted
93,a5096,redacted,redacted,redacted,t18378,Bücher,Rick Riordan / Percy Jackson,3.0,2021-11-26,2021-12-10,1177.0,,"Drama,  Liebesgeschichte",P12,3.0,1.0,,redacted
94,a3463,redacted,redacted,redacted,t32972,Bücher,Rick Riordan / Percy Jackson,1.0,2021-10-25,2021-10-25,177.0,,Schmerz/ Trost,P16,1.0,1.0,,redacted
95,a872,redacted,redacted,redacted,t30006,Bücher,Rick Riordan / Percy Jackson,1.0,2021-11-01,2021-11-01,565.0,,Allgemein,P12,2.0,0.0,,redacted
96,a12591,redacted,redacted,redacted,t3089,Bücher,Rick Riordan / Percy Jackson,1.0,2021-09-26,2021-09-26,1086.0,,Allgemein,P12,0.0,1.0,,redacted
97,a693,redacted,redacted,redacted,t9742,Bücher,Rick Riordan / Percy Jackson,5.0,2021-04-27,2021-10-01,22008.0,,"Abenteuer,  Freundschaft",P16,3.0,7.0,,redacted
98,a14181,redacted,redacted,redacted,t32476,Bücher,Rick Riordan / Percy Jackson,1.0,2021-08-26,2021-08-26,626.0,,Familie,P12,1.0,3.0,,redacted
99,a7447,redacted,redacted,redacted,t4485,Bücher,Rick Riordan / Percy Jackson,5.0,2021-09-09,2021-09-12,1982.0,,Allgemein,P12,0.0,0.0,,redacted
100,a12383,redacted,redacted,redacted,t20261,Bücher,Rick Riordan / Percy Jackson,3.0,2021-07-14,2021-07-15,2184.0,,"Drama,  Freundschaft",P12,0.0,1.0,,redacted
101,a5522,redacted,redacted,redacted,t27396,Bücher,Rick Riordan / Percy Jackson,1.0,2021-07-19,2021-07-19,667.0,,"Romance,  Historisch",P12,7.0,4.0,,redacted
102,a11545,redacted,redacted,redacted,t32069,Bücher,Rick Riordan / Percy Jackson,3.0,2021-07-27,2021-07-31,107.0,,"Abenteuer,  Action",P6,0.0,0.0,,redacted
103,a16038,redacted,redacted,redacted,t36977,Bücher,Rick Riordan / Percy Jackson,1.0,2021-06-20,2021-06-20,3567.0,,Liebesgeschichte,P6,4.0,1.0,,redacted
104,a11169,redacted,redacted,redacted,t12039,Bücher,Rick Riordan / Percy Jackson,11.0,2021-05-26,2021-06-25,14307.0,,"Fantasy,  Liebesgeschichte",P12,0.0,1.0,,redacted
105,a16102,redacted,redacted,redacted,t399,Bücher,Rick Riordan / Percy Jackson,2.0,2021-06-21,2021-06-28,2473.0,,"Abenteuer,  Freundschaft",P16,0.0,1.0,,redacted
106,a13523,redacted,redacted,redacted,t39461,Bücher,Rick Riordan / Percy Jackson,1.0,2021-05-19,2021-05-19,3791.0,,"Humor,  Freundschaft",P12,3.0,1.0,,redacted
107,a6353,redacted,redacted,redacted,t35571,Bücher,Rick Riordan / Percy Jackson,1.0,2021-05-25,2021-05-25,508.0,,Allgemein,P12,0.0,0.0,,redacted
108,a14181,redacted,redacted,redacted,t16366,Bücher,Rick Riordan / Percy Jackson,1.0,2021-05-29,2021-05-29,1391.0,,Allgemein,P12,2.0,4.0,,redacted
109,a12521,redacted,redacted,redacted,t13600,Bücher,Rick Riordan / Percy Jackson,2.0,2021-05-29,2021-05-30,1171.0,,"Freundschaft,  Liebesgeschichte",P18,0.0,0.0,,redacted
110,a14181,redacted,redacted,redacted,t8570,Bücher,Rick Riordan / Percy Jackson,1.0,2021-04-17,2021-04-17,591.0,,Allgemein,P12,1.0,2.0,,redacted
111,a15508,redacted,redacted,redacted,t11309,Bücher,Rick Riordan / Percy Jackson,4.0,2021-04-20,2021-04-20,2998.0,,"Freundschaft,  Liebesgeschichte",P12,0.0,2.0,,redacted
112,a6779,redacted,redacted,redacted,t29138,Bücher,Rick Riordan / Percy Jackson,1.0,2021-04-21,2021-04-21,119.0,,"Drama,  Action",P12,0.0,1.0,,redacted
113,a7492,redacted,redacted,redacted,t37414,Bücher,Rick Riordan / Percy Jackson,7.0,2021-03-16,2021-04-27,6364.0,,"Familie,  Fantasy",P12,3.0,10.0,,redacted
114,a9604,redacted,redacted,redacted,t27007,Bücher,Rick Riordan / Percy Jackson,5.0,2021-03-16,2021-03-16,1804.0,,"Krimi,  Freundschaft",P12,0.0,1.0,,redacted
115,a14181,redacted,redacted,redacted,t11816,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-16,2021-03-16,817.0,,Liebesgeschichte,P12,2.0,0.0,,redacted
116,a14181,redacted,redacted,redacted,t16519,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-17,2021-03-17,377.0,,Familie,P12,2.0,0.0,,redacted
117,a14181,redacted,redacted,redacted,t27078,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-19,2021-03-19,981.0,,Liebesgeschichte,P12,1.0,2.0,,redacted
118,a14006,redacted,redacted,redacted,t31919,Bücher,Rick Riordan / Percy Jackson,2.0,2021-03-07,2021-03-24,265.0,,"Freundschaft,  Liebesgeschichte",P12,1.0,4.0,,redacted
119,a14181,redacted,redacted,redacted,t17073,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-24,2021-03-24,1189.0,,Liebesgeschichte,P12,1.0,1.0,,redacted
120,a6580,redacted,redacted,redacted,t36444,Bücher,Rick Riordan / Percy Jackson,2.0,2021-03-21,2021-03-25,423.0,,"Abenteuer,  Freundschaft",P12,0.0,0.0,,redacted
121,a11459,redacted,redacted,redacted,t17642,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-25,2021-03-25,6828.0,,"Humor,  Freundschaft",P12,10.0,5.0,,redacted
122,a13330,redacted,redacted,redacted,t25836,Bücher,Rick Riordan / Percy Jackson,7.0,2021-02-19,2021-03-25,4252.0,,"Interview/ Quiz Humor,  Freundschaft",P12,2.0,7.0,,redacted
123,a3463,redacted,redacted,redacted,t38367,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-26,2021-03-26,1794.0,,Schmerz/ Trost,P16,0.0,0.0,,redacted
124,a4389,redacted,redacted,redacted,t22211,Bücher,Rick Riordan / Percy Jackson,25.0,2021-03-27,2021-03-27,54596.0,,"Fantasy,  Action",P16,1.0,0.0,,redacted
125,a9604,redacted,redacted,redacted,t22613,Bücher,Rick Riordan / Percy Jackson,5.0,2021-04-11,2021-04-12,721.0,,Allgemein,P12,1.0,5.0,,redacted
126,a16274,redacted,redacted,redacted,t30149,Bücher,Rick Riordan / Percy Jackson,1.0,2021-02-14,2021-02-14,1250.0,,"Romance,  Schmerz/ Trost",P12,0.0,1.0,,redacted
127,a13098,redacted,redacted,redacted,t29898,Bücher,Rick Riordan / Percy Jackson,2.0,2021-02-14,2021-02-14,6951.0,,"Humor,  Romance",P12,1.0,1.0,,redacted
128,a12387,redacted,redacted,redacted,t35749,Bücher,Rick Riordan / Percy Jackson,2.0,2020-11-08,2021-02-24,4657.0,,"Abenteuer,  Fantasy",P12,1.0,1.0,,redacted
129,a85,redacted,redacted,redacted,t7547,Bücher,Rick Riordan / Percy Jackson,1.0,2021-02-27,2021-02-27,2243.0,,Liebesgeschichte,P12,1.0,0.0,,redacted
130,a9604,redacted,redacted,redacted,t8203,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-10,2021-03-10,142.0,,Interview/ Quiz Allgemein,P12,0.0,0.0,,redacted
131,a9604,redacted,redacted,redacted,t14152,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-10,2021-03-10,325.0,,Interview/ Quiz Allgemein,P12,0.0,0.0,,redacted
132,a7979,redacted,redacted,redacted,t11774,Bücher,Rick Riordan / Percy Jackson,1.0,2021-03-11,2021-03-11,930.0,,"Romance,  Schmerz/ Trost",P12,1.0,2.0,,redacted
133,a12081,redacted,redacted,redacted,t3187,Bücher,Rick Riordan / Percy Jackson,1.0,2021-01-01,2021-01-01,2094.0,,"Familie,  Liebesgeschichte",P12 Slash,1.0,2.0,,redacted
