,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
508,a9997,redacted,redacted,redacted,t6121,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-11-18,2020-11-18,1107.0,,Allgemein,P12,0.0,0.0,,redacted
509,a642,redacted,redacted,redacted,t27117,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-11-19,2020-11-19,933.0,,Allgemein,P16 Slash,1.0,1.0,,redacted
510,a8498,redacted,redacted,redacted,t24221,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-10,2020-12-10,1941.0,,Familie,P12,1.0,3.0,,redacted
511,a12461,redacted,redacted,redacted,t39173,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-10,2020-12-10,1537.0,,"Humor,  Parodie",P6,4.0,1.0,,redacted
512,a12950,redacted,redacted,redacted,t36062,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-11,2020-12-11,1776.0,,Allgemein,P6,3.0,3.0,,redacted
513,a11515,redacted,redacted,redacted,t5010,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-10-16,2020-10-16,4966.0,,"Romanze,  Schmerz/ Trost",P6,0.0,2.0,,redacted
514,a9395,redacted,redacted,redacted,t8928,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-10-17,2020-10-17,1319.0,,"Humor,  Parodie",P12 Slash,5.0,5.0,,redacted
515,a2585,redacted,redacted,redacted,t3039,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-10-18,2020-10-18,228.0,,Humor,P12,0.0,2.0,,redacted
516,a3111,redacted,redacted,redacted,t38178,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,10.0,2020-10-16,2020-10-21,21846.0,,"Abenteuer,  Romanze",P12,1.0,2.0,,redacted
517,a14343,redacted,redacted,redacted,t1218,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-10-30,2020-10-30,1216.0,,"Freundschaft,  Tragödie",P12,2.0,0.0,,redacted
518,a1411,redacted,redacted,redacted,t2575,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-10-30,2020-10-30,1997.0,,"Abenteuer,  Freundschaft",P12,0.0,1.0,,redacted
